Min Samples,Epsilon,No. of Clusters,No. of Noise points
20,0.00016139202213211797,1,334422
20,0.001161392022132118,145,285482
20,0.002161392022132118,206,133168
20,0.003161392022132118,78,69252
20,0.004161392022132118,67,42692
20,0.005161392022132118,29,26620
20,0.006161392022132118,24,18512
20,0.007161392022132118,11,13898
20,0.008161392022132119,9,11246
20,0.00916139202213212,12,9307
30,0.0009413770525725125,7,303891
30,0.0019413770525725125,149,204204
30,0.0029413770525725125,57,98979
30,0.0039413770525725126,24,60100
30,0.004941377052572513,25,39787
30,0.005941377052572513,18,25877
30,0.006941377052572513,11,18932
30,0.007941377052572512,9,14478
30,0.008941377052572513,4,11749
30,0.009941377052572514,8,10081
40,0.0015543833021657797,46,282218
40,0.0025543833021657797,57,153654
40,0.0035543833021657797,22,84099
40,0.00455438330216578,17,54957
40,0.00555438330216578,14,38096
40,0.00655438330216578,12,25545
40,0.00755438330216578,7,19109
40,0.00855438330216578,4,14937
40,0.009554383302165782,3,12272
40,0.010554383302165782,4,10422
50,0.002071072237291959,54,239891
50,0.003071072237291959,31,125304
50,0.004071072237291959,11,75078
50,0.005071072237291959,8,51502
50,0.006071072237291959,10,36574
50,0.007071072237291959,8,25209
50,0.008071072237291959,5,19164
50,0.00907107223729196,7,15243
50,0.01007107223729196,2,12553
50,0.011071072237291962,1,10719
60,0.0025106497312547948,39,200635
60,0.003510649731254795,18,108799
60,0.004510649731254795,6,69606
60,0.005510649731254795,6,49170
60,0.006510649731254795,10,35608
60,0.007510649731254795,6,25067
60,0.008510649731254795,4,19229
60,0.009510649731254796,4,15545
60,0.010510649731254797,2,12724
60,0.011510649731254798,2,10943
70,0.0029082271394122146,32,171721
70,0.003908227139412215,8,98031
70,0.004908227139412215,5,65421
70,0.005908227139412215,4,47114
70,0.006908227139412215,6,34819
70,0.007908227139412215,5,25156
70,0.008908227139412216,3,19280
70,0.009908227139412216,4,15641
70,0.010908227139412217,3,12927
70,0.011908227139412218,1,11190
80,0.003264377372559941,18,150772
80,0.004264377372559941,6,90378
80,0.005264377372559941,3,62054
80,0.006264377372559941,3,45842
80,0.007264377372559941,6,34000
80,0.008264377372559941,3,24868
80,0.009264377372559942,4,19261
80,0.010264377372559943,4,15935
80,0.011264377372559944,2,13113
80,0.012264377372559945,1,11373
90,0.0035988376000284416,14,135200
90,0.004598837600028442,4,84328
90,0.005598837600028442,3,59403
90,0.006598837600028442,2,44542
90,0.007598837600028442,4,33172
90,0.008598837600028442,3,24706
90,0.009598837600028443,4,19346
90,0.010598837600028443,3,15931
90,0.011598837600028444,3,13339
90,0.012598837600028445,1,11452
100,0.003904489856461266,8,122699
100,0.004904489856461266,3,79753
100,0.005904489856461266,5,57020
100,0.006904489856461266,2,43444
100,0.007904489856461267,5,32735
100,0.008904489856461268,2,24505
100,0.009904489856461269,4,19345
100,0.01090448985646127,3,15973
100,0.01190448985646127,3,13415
100,0.012904489856461272,1,11521
